adm4_name;adm4_pcode;adm3_name;adm3_pcode
CASCO URBANO;SV0100100101;Ahuachapán;SV01001001
ASHAPUCO;SV0100100102;Ahuachapán;SV01001001
CUYANAUSUL;SV0100100103;Ahuachapán;SV01001001
CHANCUYO;SV0100100104;Ahuachapán;SV01001001
CHIPILAPA;SV0100100105;Ahuachapán;SV01001001
EL ANONAL;SV0100100106;Ahuachapán;SV01001001
EL BARRO;SV0100100107;Ahuachapán;SV01001001
EL JUNQUILLO;SV0100100108;Ahuachapán;SV01001001
EL ROBLE;SV0100100109;Ahuachapán;SV01001001
EL TIGRE;SV0100100110;Ahuachapán;SV01001001
GUAYALTEPEC;SV0100100111;Ahuachapán;SV01001001
LA COYOTERA;SV0100100112;Ahuachapán;SV01001001
LA DANTA;SV0100100113;Ahuachapán;SV01001001
MONTAÑITA;SV0100100114;Ahuachapán;SV01001001
LAS CHINAMAS;SV0100100115;Ahuachapán;SV01001001
LOS HUATALES;SV0100100116;Ahuachapán;SV01001001
LOS MAGUEYES;SV0100100117;Ahuachapán;SV01001001
LOS TOLES;SV0100100118;Ahuachapán;SV01001001
LOMA DE LA GLORIA;SV0100100119;Ahuachapán;SV01001001
LLANO DE LA LAGUNA;SV0100100120;Ahuachapán;SV01001001
LLANO DE DOÐA MARIA;SV0100100121;Ahuachapán;SV01001001
NEJAPA;SV0100100122;Ahuachapán;SV01001001
PALO PIQUE;SV0100100123;Ahuachapán;SV01001001
RIO FRIO;SV0100100124;Ahuachapán;SV01001001
SAN LAZARO;SV0100100125;Ahuachapán;SV01001001
SAN RAMON;SV0100100126;Ahuachapán;SV01001001
SANTA CRUZ;SV0100100127;Ahuachapán;SV01001001
SANTA ROSA ACACALCO;SV0100100128;Ahuachapán;SV01001001
SUNTECUMAT;SV0100100129;Ahuachapán;SV01001001
TACUBITA;SV0100100130;Ahuachapán;SV01001001
CASCO URBANO;SV0100100201;Apaneca;SV01001002
PALO VERDE;SV0100100202;Apaneca;SV01001002
EL SAITILLAL;SV0100100203;Apaneca;SV01001002
QUEZALAPA;SV0100100204;Apaneca;SV01001002
SAN RAMON;SV0100100205;Apaneca;SV01001002
TALTAPANCA;SV0100100206;Apaneca;SV01001002
TIZAPA;SV0100100207;Apaneca;SV01001002
TULAPA;SV0100100208;Apaneca;SV01001002
CASCO URBANO;SV0100100301;Concepción de Ataco;SV01001003
EL ARCO;SV0100100302;Concepción de Ataco;SV01001003
EL LIMO;SV0100100303;Concepción de Ataco;SV01001003
EL MOLINO;SV0100100304;Concepción de Ataco;SV01001003
EL NARANJITO;SV0100100305;Concepción de Ataco;SV01001003
EL TRONCONAL;SV0100100306;Concepción de Ataco;SV01001003
LA CEIBA;SV0100100307;Concepción de Ataco;SV01001003
JOYA DE LOS APANTES;SV0100100308;Concepción de Ataco;SV01001003
LOS TABLONES;SV0100100309;Concepción de Ataco;SV01001003
SAN JOSE;SV0100100310;Concepción de Ataco;SV01001003
SHUCUTITAN;SV0100100311;Concepción de Ataco;SV01001003
TEXUXIN CHIRIZO;SV0100100312;Concepción de Ataco;SV01001003
CASCO URBANO;SV0100100401;Tacuba;SV01001004
AGUA FRIA;SV0100100402;Tacuba;SV01001004
EL CHAGUITE;SV0100100403;Tacuba;SV01001004
EL JICARO;SV0100100404;Tacuba;SV01001004
EL NISPERO;SV0100100405;Tacuba;SV01001004
EL RODEO;SV0100100406;Tacuba;SV01001004
EL ROSARIO;SV0100100407;Tacuba;SV01001004
EL SINCUYO;SV0100100408;Tacuba;SV01001004
LOMA LARGA;SV0100100409;Tacuba;SV01001004
LA MONTAÐA;SV0100100410;Tacuba;SV01001004
LA PANDEADURA;SV0100100411;Tacuba;SV01001004
LA PUERTA;SV0100100412;Tacuba;SV01001004
MONTE HERMOSO;SV0100100413;Tacuba;SV01001004
SAN JUAN;SV0100100414;Tacuba;SV01001004
SAN RAFAEL;SV0100100415;Tacuba;SV01001004
CASCO URBANO;SV1200100101;Santa Ana;SV12001001
AYUTA;SV1200100102;Santa Ana;SV12001001
CALZONTES ABAJO;SV1200100103;Santa Ana;SV12001001
CALZONTES ARRIBA;SV1200100104;Santa Ana;SV12001001
CUTUMAY CAMONES;SV1200100105;Santa Ana;SV12001001
EL PORTEZUELO;SV1200100106;Santa Ana;SV12001001
FLOR AMARILLA ABAJO;SV1200100107;Santa Ana;SV12001001
FLOR AMARILLA ARRIBA;SV1200100108;Santa Ana;SV12001001
LA EMPALIZADA;SV1200100109;Santa Ana;SV12001001
LA MONTAÐITA;SV1200100110;Santa Ana;SV12001001
LAS ARADAS;SV1200100111;Santa Ana;SV12001001
LOMAS DE SAN MARCELINO;SV1200100112;Santa Ana;SV12001001
LOS APOYOS;SV1200100113;Santa Ana;SV12001001
MONTE LARGO;SV1200100114;Santa Ana;SV12001001
NANCINTEPEQUE;SV1200100115;Santa Ana;SV12001001
NATIVIDAD;SV1200100116;Santa Ana;SV12001001
OCHUPSE ABAJO;SV1200100117;Santa Ana;SV12001001
OCHUPSE ARRIBA;SV1200100118;Santa Ana;SV12001001
PALO DE CAMPANA;SV1200100119;Santa Ana;SV12001001
PINALITO;SV1200100120;Santa Ana;SV12001001
PINALON;SV1200100121;Santa Ana;SV12001001
PLANES DE LA LAGUNA;SV1200100122;Santa Ana;SV12001001
POTRERILLOS DE LA LAGUNA;SV1200100123;Santa Ana;SV12001001
POTRERILLOS DEL MATAZANO;SV1200100124;Santa Ana;SV12001001
POTRERO GRANDE ABAJO;SV1200100125;Santa Ana;SV12001001
POTRERO GRANDE ARRIBA;SV1200100126;Santa Ana;SV12001001
PRIMAVERA;SV1200100127;Santa Ana;SV12001001
RANCHADOR;SV1200100128;Santa Ana;SV12001001
SAN JUAN BUENA VISTA;SV1200100129;Santa Ana;SV12001001
VALLE DEL MATAZANO;SV1200100130;Santa Ana;SV12001001
TABLON DEL MATAZANO;SV1200100131;Santa Ana;SV12001001
CASCO URBANO;SV1000100401;Mejicanos;SV10001004
CHANCALA;SV1000100402;Mejicanos;SV10001004
SAN MIGUEL;SV1000100403;Mejicanos;SV10001004
SAN ROQUE;SV1000100404;Mejicanos;SV10001004
CASCO URBANO;SV1000100501;San Salvador;SV10001005
CASCO URBANO;SV1000200201;San Martín;SV10002002
EL ROSARIO;SV1000200202;San Martín;SV10002002
EL SAUCE;SV1000200203;San Martín;SV10002002
LA FLOR;SV1000200204;San Martín;SV10002002
LA PALMA;SV1000200205;San Martín;SV10002002
LAS ANIMAS;SV1000200206;San Martín;SV10002002
LAS DELICIAS;SV1000200207;San Martín;SV10002002
SAN JOSE PRIMERO;SV1000200208;San Martín;SV10002002
SAN JOSE SEGUNDO;SV1000200209;San Martín;SV10002002
CASCO URBANO;SV1000200401;Tonacatepeque;SV10002004
EL ROSARIO;SV1000200402;Tonacatepeque;SV10002004
EL SAUCE;SV1000200403;Tonacatepeque;SV10002004
EL TRANSITO;SV1000200404;Tonacatepeque;SV10002004
LA FUENTE;SV1000200405;Tonacatepeque;SV10002004
LA UNION;SV1000200406;Tonacatepeque;SV10002004
LAS FLORES;SV1000200407;Tonacatepeque;SV10002004
MALACOF;SV1000200408;Tonacatepeque;SV10002004
VERACRUZ;SV1000200409;Tonacatepeque;SV10002004
CASCO URBANO;SV1000200410;Tonacatepeque;SV10002004
CALLE REAL;SV1000200411;Tonacatepeque;SV10002004
EL ARENAL;SV1000200412;Tonacatepeque;SV10002004
EL CALLEJON;SV1000200413;Tonacatepeque;SV10002004
LA CABAÐA;SV1000200414;Tonacatepeque;SV10002004
