adm3_name;adm3_pcode;adm2_name;adm2_pcode
Ahuachapán;SV01001001;Ahuachapán Centro;SV01001
Apaneca;SV01001002;Ahuachapán Centro;SV01001
Concepción de Ataco;SV01001003;Ahuachapán Centro;SV01001
Tacuba;SV01001004;Ahuachapán Centro;SV01001
Santa Ana;SV12001001;Santa Ana Centro;SV12001
Mejicanos;SV10001004;San Salvador Centro;SV10001
San Salvador;SV10001005;San Salvador Centro;SV10001
San Martín;SV10002002;San Salvador Este;SV10002
Tonacatepeque;SV10002004;San Salvador Este;SV10002
Concepción Batres;SV14001002;Usulután Este;SV14001
Ereguayquín;SV14001003;Usulután Este;SV14001
Santa Elena;SV14001007;Usulután Este;SV14001
Moncagua;SV09001003;San Miguel Centro;SV09001
San Miguel;SV09001005;San Miguel Centro;SV09001
